timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1.71699E+12,5,HTTP Request,200,,Thread Group 1-392,text,TRUE,,576,216,1,1,http://localhost:5009/data/filterfromAllCSV,5,0,1
1.71699E+12,4,HTTP Request,200,,Thread Group 1-393,text,TRUE,,576,216,1,1,http://localhost:5009/data/filterfromAllCSV,4,0,1
1.71699E+12,10,HTTP Request,200,,Thread Group 1-394,text,TRUE,,576,216,2,2,http://localhost:5009/data/filterfromAllCSV,10,0,1
1.71699E+12,10,HTTP Request,200,,Thread Group 1-395,text,TRUE,,576,216,3,3,http://localhost:5009/data/filterfromAllCSV,10,0,1
1.71699E+12,9,HTTP Request,200,,Thread Group 1-397,text,TRUE,,576,216,2,2,http://localhost:5009/data/filterfromAllCSV,9,0,1
1.71699E+12,9,HTTP Request,200,,Thread Group 1-396,text,TRUE,,576,216,1,1,http://localhost:5009/data/filterfromAllCSV,9,0,2
1.71699E+12,3,HTTP Request,200,,Thread Group 1-399,text,TRUE,,576,216,2,2,http://localhost:5009/data/filterfromAllCSV,3,0,0
1.71699E+12,4,HTTP Request,200,,Thread Group 1-398,text,TRUE,,576,216,2,2,http://localhost:5009/data/filterfromAllCSV,4,0,1
1.71699E+12,22,HTTP Request,200,,Thread Group 1-405,text,TRUE,,576,216,17,17,http://localhost:5009/data/filterfromAllCSV,22,0,1
1.71699E+12,26,HTTP Request,200,,Thread Group 1-404,text,TRUE,,576,216,16,16,http://localhost:5009/data/filterfromAllCSV,26,0,1
1.71699E+12,13,HTTP Request,200,,Thread Group 1-413,text,TRUE,,576,216,15,15,http://localhost:5009/data/filterfromAllCSV,13,0,1
1.71699E+12,27,HTTP Request,200,,Thread Group 1-403,text,TRUE,,576,216,14,14,http://localhost:5009/data/filterfromAllCSV,27,0,1
1.71699E+12,31,HTTP Request,200,,Thread Group 1-402,text,TRUE,,576,216,13,13,http://localhost:5009/data/filterfromAllCSV,31,0,1
1.71699E+12,28,HTTP Request,200,,Thread Group 1-406,text,TRUE,,576,216,13,13,http://localhost:5009/data/filterfromAllCSV,28,0,1
1.71699E+12,28,HTTP Request,200,,Thread Group 1-408,text,TRUE,,576,216,11,11,http://localhost:5009/data/filterfromAllCSV,28,0,1
1.71699E+12,29,HTTP Request,200,,Thread Group 1-407,text,TRUE,,576,216,11,11,http://localhost:5009/data/filterfromAllCSV,29,0,0
1.71699E+12,30,HTTP Request,200,,Thread Group 1-409,text,TRUE,,576,216,11,11,http://localhost:5009/data/filterfromAllCSV,30,0,0
1.71699E+12,28,HTTP Request,200,,Thread Group 1-411,text,TRUE,,576,216,8,8,http://localhost:5009/data/filterfromAllCSV,28,0,1
1.71699E+12,26,HTTP Request,200,,Thread Group 1-414,text,TRUE,,576,216,8,8,http://localhost:5009/data/filterfromAllCSV,26,0,0
1.71699E+12,28,HTTP Request,200,,Thread Group 1-412,text,TRUE,,576,216,6,6,http://localhost:5009/data/filterfromAllCSV,28,0,1
1.71699E+12,32,HTTP Request,200,,Thread Group 1-410,text,TRUE,,576,216,5,5,http://localhost:5009/data/filterfromAllCSV,32,0,1
1.71699E+12,29,HTTP Request,200,,Thread Group 1-415,text,TRUE,,576,216,4,4,http://localhost:5009/data/filterfromAllCSV,29,0,0
1.71699E+12,30,HTTP Request,200,,Thread Group 1-400,text,TRUE,,576,216,4,4,http://localhost:5009/data/filterfromAllCSV,30,0,2
1.71699E+12,21,HTTP Request,200,,Thread Group 1-416,text,TRUE,,576,216,2,2,http://localhost:5009/data/filterfromAllCSV,21,0,0
1.71699E+12,36,HTTP Request,200,,Thread Group 1-401,text,TRUE,,576,216,2,2,http://localhost:5009/data/filterfromAllCSV,36,0,2
1.71699E+12,4,HTTP Request,200,,Thread Group 1-417,text,TRUE,,576,216,2,2,http://localhost:5009/data/filterfromAllCSV,4,0,1
1.71699E+12,4,HTTP Request,200,,Thread Group 1-418,text,TRUE,,576,216,2,2,http://localhost:5009/data/filterfromAllCSV,4,0,1
1.71699E+12,4,HTTP Request,200,,Thread Group 1-419,text,TRUE,,576,216,2,2,http://localhost:5009/data/filterfromAllCSV,4,0,0
1.71699E+12,5,HTTP Request,200,,Thread Group 1-420,text,TRUE,,576,216,3,3,http://localhost:5009/data/filterfromAllCSV,5,0,1
1.71699E+12,5,HTTP Request,200,,Thread Group 1-422,text,TRUE,,576,216,3,3,http://localhost:5009/data/filterfromAllCSV,5,0,1
1.71699E+12,6,HTTP Request,200,,Thread Group 1-421,text,TRUE,,576,216,3,3,http://localhost:5009/data/filterfromAllCSV,6,0,1
1.71699E+12,5,HTTP Request,200,,Thread Group 1-423,text,TRUE,,576,216,1,1,http://localhost:5009/data/filterfromAllCSV,5,0,2
1.71699E+12,7,HTTP Request,200,,Thread Group 1-424,text,TRUE,,576,216,2,2,http://localhost:5009/data/filterfromAllCSV,7,0,2
1.71699E+12,7,HTTP Request,200,,Thread Group 1-425,text,TRUE,,576,216,1,1,http://localhost:5009/data/filterfromAllCSV,7,0,1
1.71699E+12,4,HTTP Request,200,,Thread Group 1-426,text,TRUE,,576,216,3,3,http://localhost:5009/data/filterfromAllCSV,4,0,1
1.71699E+12,5,HTTP Request,200,,Thread Group 1-427,text,TRUE,,576,216,2,2,http://localhost:5009/data/filterfromAllCSV,4,0,1
1.71699E+12,4,HTTP Request,200,,Thread Group 1-428,text,TRUE,,576,216,2,2,http://localhost:5009/data/filterfromAllCSV,4,0,0
1.71699E+12,4,HTTP Request,200,,Thread Group 1-429,text,TRUE,,576,216,1,1,http://localhost:5009/data/filterfromAllCSV,4,0,1
1.71699E+12,3,HTTP Request,200,,Thread Group 1-430,text,TRUE,,576,216,2,2,http://localhost:5009/data/filterfromAllCSV,3,0,1
1.71699E+12,3,HTTP Request,200,,Thread Group 1-431,text,TRUE,,576,216,2,2,http://localhost:5009/data/filterfromAllCSV,3,0,1
1.71699E+12,4,HTTP Request,200,,Thread Group 1-433,text,TRUE,,576,216,3,3,http://localhost:5009/data/filterfromAllCSV,4,0,1
1.71699E+12,4,HTTP Request,200,,Thread Group 1-434,text,TRUE,,576,216,3,3,http://localhost:5009/data/filterfromAllCSV,4,0,1
1.71699E+12,4,HTTP Request,200,,Thread Group 1-432,text,TRUE,,576,216,3,3,http://localhost:5009/data/filterfromAllCSV,4,0,1
1.71699E+12,6,HTTP Request,200,,Thread Group 1-435,text,TRUE,,576,216,4,4,http://localhost:5009/data/filterfromAllCSV,6,0,1
1.71699E+12,6,HTTP Request,200,,Thread Group 1-437,text,TRUE,,576,216,4,4,http://localhost:5009/data/filterfromAllCSV,6,0,2
1.71699E+12,8,HTTP Request,200,,Thread Group 1-436,text,TRUE,,576,216,3,3,http://localhost:5009/data/filterfromAllCSV,8,0,1
1.71699E+12,4,HTTP Request,200,,Thread Group 1-438,text,TRUE,,576,216,3,3,http://localhost:5009/data/filterfromAllCSV,4,0,1
1.71699E+12,4,HTTP Request,200,,Thread Group 1-439,text,TRUE,,576,216,2,2,http://localhost:5009/data/filterfromAllCSV,4,0,1
1.71699E+12,4,HTTP Request,200,,Thread Group 1-440,text,TRUE,,576,216,1,1,http://localhost:5009/data/filterfromAllCSV,4,0,0
1.71699E+12,8,HTTP Request,200,,Thread Group 1-441,text,TRUE,,576,216,3,3,http://localhost:5009/data/filterfromAllCSV,8,0,2
1.71699E+12,8,HTTP Request,200,,Thread Group 1-442,text,TRUE,,576,216,2,2,http://localhost:5009/data/filterfromAllCSV,8,0,1
1.71699E+12,6,HTTP Request,200,,Thread Group 1-443,text,TRUE,,576,216,2,2,http://localhost:5009/data/filterfromAllCSV,6,0,1
1.71699E+12,8,HTTP Request,200,,Thread Group 1-446,text,TRUE,,576,216,2,2,http://localhost:5009/data/filterfromAllCSV,8,0,3
1.71699E+12,12,HTTP Request,200,,Thread Group 1-445,text,TRUE,,576,216,1,1,http://localhost:5009/data/filterfromAllCSV,12,0,1
1.71699E+12,8,HTTP Request,200,,Thread Group 1-447,text,TRUE,,576,216,1,1,http://localhost:5009/data/filterfromAllCSV,8,0,1
1.71699E+12,5,HTTP Request,200,,Thread Group 1-444,text,TRUE,,576,216,1,1,http://localhost:5009/data/filterfromAllCSV,5,0,1
1.71699E+12,4,HTTP Request,200,,Thread Group 1-448,text,TRUE,,576,216,1,1,http://localhost:5009/data/filterfromAllCSV,4,0,1
